"Home"; "Главная"
"Apartments"; "Апартаменты"
"room"; "комнатные"
"x rooms"; "комнатные"
"x rooms and more"; "комнатные и более"
"Loyalty program"; "Программа лояльности"
"Our city"; "Наш город"
"About us"; "О нас"
"Rules"; "Правила"
"Additional services"; "Услуги"
"You are here"; "Вы здесь"
"Contact us"; "Контакты"
"Filter"; "Фильтр"
"Amount of rooms"; "Количество комнат"
"Price from"; "Цена от"
"to"; "до"
"usd"; "грн."
"Search"; "Найти"
"Price"; "Цена"
"room apartments"; "к квартиры"
"Value is required and can't be empty"; "Значение не может быть пустым"
"Our services"; "Наши услуги"
"Your order is send"; "Ваш заказ отправлен"
"Incorrect user email or password"; "Неверно введены логин или пароль"
"Send order"; "Отправить заказ"
"Detailed"; "Подробнее"
"Request availability"; "Забронировать"
"Pay now"; "Оплатить сейчас"
"Per day"; "За день"
"Condition"; "Кондиционер"
"Sleep places"; "Спальных мест"
"Description"; "Описание квартиры"
"Please, request availability prior to making a prepayment. After you receive a confirmation of your booking, you are welcome to proceed to prepayment."; "Пожалуйста, уточните наличие квартиры до того, как сделаете предоплату. После того как наш менеджер подтвердит ваше бронирование 
вы можете перейти к процессу оплаты."
"Ordered services:"; "Вы заказали услуги:"
"from"; "от"
"Thank you, your order was received, our manager will contact you soon. You may do prepayment after your order is confirmed."; "Спасибо Ваш заказ оформлен, наш менеджер свяжется с Вами в ближайшее время."
"Your order at Charming Apartments apartment-kharkov.com"; "Ваш заказ на сайте apartment-kharkov.com.ua"
"Director"; "Директор"
"Meneger"; "Менеджер"
"Our adress"; "Наш адрес"
"Our work hours"; "Мы работаем"
"Phone"; "тел."
"additional services"; "Дополнительные услуги"
"Name:"; "Имя:"
"Phone:"; "Телефон:"
"Arrival date:"; "Дата заезда:"
"Departure date:"; "Дата выезда:"
"Comments:"; "Комментарий:"
"Subject:"; "Тема"